SampleID	SampleA	SampleB	SampleD	SampleC
(AGly)Aac6-Ii	1.0	0.0	0.0	0.0
(AGly)Ant6-Ia	0.0	1.0	1.0	0.0
(AGly)Aph3-III	0.0	1.0	0.0	0.0
(AGly)Sat4A	0.0	1.0	0.0	0.0
(Bla)OXA-347	0.0	1.0	0.0	0.0
(Bla)cfxA4	0.0	1.0	0.0	0.0
(Bla)cfxA5	0.0	1.0	0.0	0.0
(MLS)ErmB	0.0	1.0	1.0	0.0
(Tet)Tet-32	0.0	1.0	0.0	0.0
(Tet)TetO	0.0	1.0	0.0	0.0
(Tet)TetQ	0.0	1.0	1.0	0.0
(Tet)TetS	1.0	0.0	0.0	0.0
(Tet)TetW	1.0	1.0	0.0	0.0
ARO:3000194|tetW	1.0	1.0	1.0	0.0
ARO:3000375|ErmB	0.0	1.0	0.0	0.0
ARO:3000567|tet(40)	1.0	1.0	0.0	0.0
ARO:3001777|OXA-347	0.0	1.0	1.0	0.0
ARO:3002628|aad(6)	0.0	1.0	1.0	0.0
ARO:3002647|APH(3')-IIIa	0.0	1.0	0.0	0.0
ARO:3002867|dfrF	1.0	1.0	1.0	0.0
ARO:3003002|CfxA2	0.0	1.0	1.0	0.0
ARO:3003003|CfxA3	0.0	1.0	0.0	0.0
ARO:3003005|CfxA4	0.0	1.0	1.0	0.0
ARO:3003096|CfxA5	0.0	1.0	1.0	0.0
ant(6)-Ia_3	1.0	1.0	1.0	0.0
cfxA2_1	0.0	1.0	0.0	0.0
cfxA3_1	0.0	1.0	1.0	0.0
erm(B)_1	0.0	1.0	1.0	0.0
erm(B)_12	0.0	1.0	0.0	0.0
erm(B)_15	0.0	1.0	0.0	0.0
erm(B)_6	0.0	1.0	1.0	0.0
erm(B)_7	0.0	1.0	0.0	0.0
erm(B)_9	0.0	1.0	1.0	0.0
erm(F)_3	0.0	1.0	0.0	0.0
tet(0/32/0)_3	0.0	1.0	0.0	0.0
tet(0/32/0)_7	0.0	1.0	0.0	0.0
tet(40)_1	0.0	1.0	1.0	0.0
tet(M)_1	1.0	0.0	0.0	0.0
tet(O)_2	1.0	1.0	0.0	0.0
tet(O)_3	1.0	1.0	0.0	0.0
tet(O)_4	0.0	1.0	0.0	0.0
tet(O/W)-1_1	0.0	1.0	0.0	0.0
tet(O/W)-2_1	0.0	1.0	0.0	0.0
tet(O/W)_3	1.0	1.0	1.0	0.0
tet(O/W)_4	1.0	1.0	1.0	0.0
tet(O/W)_5	1.0	1.0	0.0	0.0
tet(O/W/O)-1_1	0.0	1.0	0.0	0.0
tet(O/W/O)-2_1	0.0	1.0	1.0	0.0
tet(Q)_1	0.0	1.0	1.0	0.0
tet(Q)_2	0.0	1.0	0.0	0.0
tet(Q)_4	0.0	1.0	1.0	0.0
tet(S)_4	1.0	0.0	0.0	0.0
tet(W)_1	1.0	1.0	0.0	0.0
tet(W)_3	1.0	1.0	1.0	0.0
tet(W)_4	1.0	1.0	0.0	0.0
